codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
550026300;MAR-CUA-557PBL21;SHELL CORENA S4 R 68 1x5GAL;000001;227;2021-12-29
550027265;MAR-CUA-557PBL21;SHELL CORENA S4 P 100 1x20L;000001;65;2021-12-29
550045438;MAR-CUA-438PBL21;SHELL RIMULA R5 E 10W-40 3x4L;000001;44;2021-12-14
45657855;MAR-CIR-488PBL20;SHELL OMALA S2 G 100 1x20L;000001;99;2020-01-01
45372809;MALO577PBL22;SHELL SPIRAX S2 A 85W-140 TB 209L EXPO;000004;27;2022-12-29
550029925;MALO577PBL22;SHELL SPIRAX S2 A 80W-90 1x55GAL;000004;37;2022-12-29
550045838;MALO577PBL22;SHELL HELIX HX5 15W-40 SN 3x4L;000003;8;2022-12-29
550053587;MALO577PBL22;SHELL ADVANCE 4T ULTRA 15W-50 12x1L;000004;14;2022-12-29
550057747;MALO577PBL22;SHELL HELIX HX7 SP 10W-30 1x209L;000004;1;2022-12-29
550027265;MALO557PBL21;SHELL CORENA S4 P 100 1x20L;000004;9;2021-12-29
550050706;MALO492PBL22;SHELL GADUS S2 V220AC 2 1x18KG;000004;1;2022-11-24
45657855;MALO488PBL20;SHELL OMALA S2 G 100 1x20L;000004;4;2020-01-01
550026699;MALO450PBL22;SHELL HYDRAULIC S1 M 68 1x55GAL;000004;36;2022-10-19
550026900;MALO450PBL22;SHELL SPIRAX S4 CX 30 1x55GAL;000004;4;2022-10-19
6560200055;MALO421PBL22;SHELL TURBO OIL T 32 1x55GAL;000004;6;2022-10-15
550047079;MALO395PBL21;SHELL ARGINA S4 40 1x55GAL;000004;3;2021-11-12
550057742;MALO298PBL22;SHELL HELIX ULTRA 5W-40 6x1L;000004;29;2022-06-28
550043380;MALO260PBL21;SHELL TURBO S4 GX 32 1x55GAL;000004;1;2021-07-13
40926905;MALO257PBL22;SHELL HELIX HX8 PRO AG 0W-20 EXPO 12x1L;000004;5;2022-06-10
6560500055;MALO252PBL22;SHELL TURBO T OIL 68 1x55GAL;000004;3;2022-06-14
550054282;MALO146PBL22;SHELL RIMULA R4 X 15W-40 1x5GAL;000004;1;2022-04-29
43592855;MALO125PBL22;SHELL SPIRAX S2 A 90 1x20L;000004;2;2022-04-27
45372855;MALO125PBL22;SHELL SPIRAX S2 A 85W-140 1x20L;000004;1;2022-04-27
550049041;MALO096PBL22;SHELL HELIX HX8 PRO AG 0W-20 LATA 3x4L;000004;32;2020-01-01
43509809;MALO079PBL20;SHELL HELIX HX5 15W-40 SL TB 209L;000004;85;2020-01-01
550026891;MALO058PBL23;SHELL SPIRAX S4 TXM 1x5GAL;000004;1;2023-03-08
550045415;MALO058PBL23;SHELL TELLUS S2 MX 68 1x5GAL;000004;1;2023-03-08
550056833;MALO058PBL23;SHELL SPIRAX S5 CVT X 12x1L;000004;3;2023-03-08
550026902;MALO052PBL23;SHELL SPIRAX S4 TXM 1x55GAL;000004;1;2023-03-01
550047075;MALO035PBL22;SHELL GADINIA S3 40 1x55GAL;000004;12;2022-02-01
44243855;MALO016PBL23;SHELL RIMULA R4 X 15W-40 CI-4 1x20L;000004;37;2023-01-30
550026697;BLA-TRI-528PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;840;2022-11-23
550026697;BLA-TRI-528PBL22;SHELL HYDRAULIC S1 M 68 1x5GAL;000001;840;2022-11-23
550045853;BLA-TRI-528PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-11-23
550045853;BLA-TRI-528PBL22;SHELL HELIX HX5 20W-50 SN 3x4L;000001;1680;2022-11-23
550045885;BLA-TRI-528PBL22;SHELL HELIX HX5 20W-50 SN 6x1L;000001;1686;2022-11-23
