codigo;descripcion;almacen;lote;stock;fecha
QAE80623126;QUALID 23.1-26 16PR AE806;000002;457PBL22;6;2022-12-29
QAL70210165;QUALID 10-16.5 12PR AL702;000002;457PBL22;24;2022-12-29
QAL70212165;QUALID 12-16.5 14PR AL702;000002;457PBL22;36;2022-12-29
QC-1010;TOYOTA COROLLA 1.6 / 1.8 VVL-I;000001;441PBL22;900;2022-10-04
QC-1010;TOYOTA COROLLA 1.6 / 1.8 VVL-I;000004;441PBL22;50;2022-10-04
QC-1083;FORD F150/ FX4/ F350;000001;441PBL22;8999;2022-10-04
QC-1083;FORD F150/ FX4/ F350;000004;441PBL22;50;2022-10-04
QC-1100;TOYOTA PRADO, 4RUNNER, FJ CRUISER;000001;441PBL22;2250;2022-10-04
QC-1100;TOYOTA PRADO, 4RUNNER, FJ CRUISER;000004;441PBL22;50;2022-10-04
QC-2;FILTRO UNIVERSAL;000004;441PBL22;100;2022-10-04
QC-3583;JEEP CJ SERIES / WAGONEER / WRANGLER (CON RETORNO);000001;441PBL22;700;2022-10-04
QC-3583;JEEP CJ SERIES / WAGONEER / WRANGLER (CON RETORNO);000004;441PBL22;50;2022-10-04
QC-3641;DODGE PICK-UP RAM 2500. JEEP COMANCHE / CHEROKEE / WRANGLER;000001;441PBL22;400;2022-10-04
QC-3641;DODGE PICK-UP RAM 2500. JEEP COMANCHE / CHEROKEE / WRANGLER;000004;441PBL22;48;2022-10-04
QC-3727;CHEVROLET BLAZER / C - 1500 / CHEYENNE / CELEBRITY / CORVETTE / GRAND BLAZER / 2WD / 4WD / LUMINA / C10;000004;441PBL22;50;2022-10-04
QC-3802;FORD BRONCO PICO CORTO;000001;441PBL22;650;2022-10-04
QC-3802;FORD BRONCO PICO CORTO;000004;441PBL22;50;2022-10-04
QC-3850;FORD BRONCO / EXPLORER / F-150 / F-350;000001;441PBL22;1000;2022-10-04
QC-3850;FORD BRONCO / EXPLORER / F-150 / F-350;000004;441PBL22;4;2022-10-04
QC-5010;TOYOTA STARLET, ARAYA, SKY, COROLLA CARBURADO;000004;441PBL22;100;2022-10-04
QC-5110;TOYOTA HILUX (INYECCIÓN);000001;441PBL22;550;2022-10-04
