"id";"id_categoria";"id_brand";"id_umbral";"codigo";"referencia";"descripcion";"cantidad";"tipo"
"221";"5";"6";"1";"QL-51660";"QL-51660";"VOLVO / MACK BY PASS";"0";""
"222";"5";"6";"1";"QL-51669";"QL-51669";"FORD MOTORES CUMMINS";"0";""
"223";"5";"6";"1";"QL-51675";"QL-51675";"MITSUBISHI FUSO CANTER";"0";""
"224";"5";"6";"1";"QL-51748";"QL-51748";"FORD F-9000 / CARGO 1721";"0";""
"225";"5";"6";"1";"QL-51749";"QL-51749";"SUPERBRIGADIER 185 / 229";"0";""
"226";"5";"6";"1";"QL-51791";"QL-51791";"CHEVROLET KODIAK CATERPILLAR 3126 ELECTRONICO";"0";""
"227";"5";"6";"1";"QL-51810";"QL-51810";"CHEVROLET NPR / NKR / ENCAVA";"0";""
"228";"5";"6";"1";"QL-51832";"QL-51832";"FORD F-7000";"0";""
"229";"5";"6";"1";"QL-51971";"QL-51971";"FREIGHTLINER CL120 / FDL120";"0";""
"230";"4";"6";"1";"QL-5548";"QL-5548";"VOLKSWAGEN FOX / CROSSFOX 2006-2008 / GOL 1997-2018 / SPACE FOX 2006-2008.  SEAT IBIZA CORDOBA";"0";""
"231";"5";"6";"1";"QL-57746";"QL-57746";"CUMMINS ISX";"0";""
"232";"4";"6";"1";"QL-6607";"QL-6607";"FORD KA / LASER. MAZDA ALLEGRO / 323 / 626 KIA PICANTO";"0";""
"233";"4";"6";"1";"QL-7317";"QL-7317";"HONDA ACCORD / CIVIC, LEGEND / FIT / DODGE BRISA. MITSUBISHI LANCER";"0";""
"234";"4";"6";"1";"QL-8";"QL-8";"FORD MUSTANG 91-03 / FORD BRONCO 92-96 / EXPLORER 92-01 / PICK UP F150-350. TOYOTA LAND CRUISER / MACHO / PICK UP";"0";""
"235";"4";"6";"1";"QL-9814";"QL-9814";"PEUGEOT 206/207/307/408, CENTAURO 1.6, DONGFENG S30";"0";""
